Manga,Prediction 1,Prediction 2,Prediction 3
AisazuNihaIrarenai,OhWareraRettouSeitokai,AppareKappore,EverydayOsakanaChan
AkkeraKanjinchou,MeteoSanStrikeDesu,UnbalanceTokyo,MAD_STONE
Akuhamu,MoeruOnisan_vol19,JijiBabaFight,OL_Lunch
AosugiruHaru,MayaNoAkaiKutsu,ARMS,YamatoNoHane
AppareKappore,HeiseiJimen,OhWareraRettouSeitokai,AisazuNihaIrarenai
Arisa,ParaisoRoad,Jyovolley,NichijouSoup
ARMS,MayaNoAkaiKutsu,EvaLady,YamatoNoHane
BakuretsuKungFuGirl,YasasiiAkuma,DollGun,PLANET7
Belmondo,Hamlet,SaladDays_vol01,HighschoolKimengumi_vol01
BEMADER_P,Hamlet,HanzaiKousyouninMinegishiEitarou,ReveryEarth
BokuHaSitatakaKun,UltraEleven,HighschoolKimengumi_vol20,EverydayOsakanaChan
BurariTessenTorimonocho,UchiNoNyan'sDiary,LancelotFullThrottle,MisutenaideDaisy
ByebyeC-BOY,TensiNoHaneToAkumaNoShippo,GinNoChimera,Raphael
Count3DeKimeteAgeru,TotteokiNoABC,PLANET7,LancelotFullThrottle
DollGun,PLANET7,MagicianLoad,YasasiiAkuma
Donburakokko,MagicStarGakuin,MomoyamaHaikagura,PlatinumJungle
DualJustice,HinagikuKenzan,TensiNoHaneToAkumaNoShippo,MadouTaiga
EienNoWith,GakuenNoise,TasogareTsushin,KyokugenCyclone
EvaLady,MemorySeijin,That'sIzumiko,HealingPlanet
EverydayOsakanaChan,UltraEleven,HarukaRefrain,HisokaReturns
GakuenNoise,EienNoWith,HanzaiKousyouninMinegishiEitarou,KyokugenCyclone
GarakutayaManta,TsubasaNoKioku,TapkunNoTanteisitsu,ShimatteIkouze_vol26
GinNoChimera,Ningyoushi,ByebyeC-BOY,TensiNoHaneToAkumaNoShippo
GOOD_KISS_Ver2,NichijouSoup,MutekiBoukenSyakuma,Jyovolley
Hamlet,BEMADER_P,Belmondo,HighschoolKimengumi_vol01
HanzaiKousyouninMinegishiEitarou,BEMADER_P,Hamlet,GakuenNoise
HaruichibanNoFukukoro,MadouTaiga,Nekodama,SeisinkiVulnus
HarukaRefrain,UltraEleven,HisokaReturns,EverydayOsakanaChan
HealingPlanet,That'sIzumiko,MemorySeijin,PlatinumJungle
HeiseiJimen,AppareKappore,PikaruGenkiDesu,ParaisoRoad
HighschoolKimengumi_vol01,Hamlet,Belmondo,SaladDays_vol01
HighschoolKimengumi_vol20,TennenSenshiG,ShimatteIkouze_vol01,MoeruOnisan_vol19
HinagikuKenzan,DualJustice,ReveryEarth,LoveHina_vol14
HisokaReturns,HarukaRefrain,UltraEleven,EverydayOsakanaChan
JangiriPonpon,UchuKigekiM774,TennenSenshiG,ShimatteIkouze_vol01
JijiBabaFight,OL_Lunch,MoeruOnisan_vol19,Akuhamu
Joouari,SeisinkiVulnus,SaladDays_vol18,PsychoStaff
Jyovolley,NichijouSoup,GOOD_KISS_Ver2,Arisa
KarappoHighschool,SyabondamaKieta,YoumaKourin,WarewareHaOniDearu
KimiHaBokuNoTaiyouDa,KyokugenCyclone,HighschoolKimengumi_vol01,Hamlet
KoukouNoHitotachi,UchuKigekiM774,JangiriPonpon,MoeruOnisan_vol19
KuroidoGanka,TotteokiNoABC,ByebyeC-BOY,Count3DeKimeteAgeru
KyokugenCyclone,ReveryEarth,TasogareTsushin,EienNoWith
LancelotFullThrottle,MisutenaideDaisy,Saisoku,YoumaKourin
LoveHina_vol01,ParaisoRoad,SaladDays_vol01,MukoukizuNoChonbo
LoveHina_vol14,Raphael,ReveryEarth,HinagikuKenzan
MadouTaiga,HaruichibanNoFukukoro,DualJustice,SeisinkiVulnus
MAD_STONE,TensiNoHaneToAkumaNoShippo,ByebyeC-BOY,AkkeraKanjinchou
MagicianLoad,SonokiDeABC,DollGun,Saisoku
MagicStarGakuin,RinToSiteSippuNoNaka,MomoyamaHaikagura,YumeNoKayoiji
MariaSamaNihaNaisyo,YumeiroCooking,WarewareHaOniDearu,SonokiDeABC
MayaNoAkaiKutsu,ARMS,YamatoNoHane,EvaLady
MemorySeijin,EvaLady,HealingPlanet,That'sIzumiko
MeteoSanStrikeDesu,AkkeraKanjinchou,UnbalanceTokyo,KuroidoGanka
MiraiSan,BakuretsuKungFuGirl,YasasiiAkuma,PLANET7
MisutenaideDaisy,LancelotFullThrottle,Saisoku,SonokiDeABC
MoeruOnisan_vol01,UltraEleven,EverydayOsakanaChan,BokuHaSitatakaKun
MoeruOnisan_vol19,Akuhamu,JijiBabaFight,OL_Lunch
MomoyamaHaikagura,MagicStarGakuin,HaruichibanNoFukukoro,Nekodama
MukoukizuNoChonbo,SaladDays_vol01,LoveHina_vol01,HighschoolKimengumi_vol01
MutekiBoukenSyakuma,GOOD_KISS_Ver2,NichijouSoup,Jyovolley
Nekodama,HaruichibanNoFukukoro,MadouTaiga,SeisinkiVulnus
NichijouSoup,Jyovolley,GOOD_KISS_Ver2,MutekiBoukenSyakuma
Ningyoushi,YukiNoFuruMachi,GinNoChimera,Raphael
OhWareraRettouSeitokai,AppareKappore,AisazuNihaIrarenai,HeiseiJimen
OL_Lunch,JijiBabaFight,MoeruOnisan_vol19,YouchienBoueigumi
ParaisoRoad,Arisa,HeiseiJimen,Jyovolley
PikaruGenkiDesu,HeiseiJimen,TsubasaNoKioku,HisokaReturns
PLANET7,Count3DeKimeteAgeru,DollGun,MisutenaideDaisy
PlatinumJungle,SamayoeruSyonenNiJunaiWo,Donburakokko,PrismHeart
PrayerHaNemurenai,UnbalanceTokyo,AkkeraKanjinchou,MeteoSanStrikeDesu
PrismHeart,RinToSiteSippuNoNaka,MagicStarGakuin,PlatinumJungle
PsychoStaff,SaladDays_vol18,Joouari,TasogareTsushin
Raphael,TensiNoHaneToAkumaNoShippo,Ningyoushi,YukiNoFuruMachi
ReveryEarth,BEMADER_P,KyokugenCyclone,HanzaiKousyouninMinegishiEitarou
RinToSiteSippuNoNaka,YumeNoKayoiji,MagicStarGakuin,SeisinkiVulnus
RisingGirl,MAD_STONE,TensiNoHaneToAkumaNoShippo,ByebyeC-BOY
Saisoku,SonokiDeABC,WarewareHaOniDearu,MisutenaideDaisy
SaladDays_vol01,GOOD_KISS_Ver2,MutekiBoukenSyakuma,NichijouSoup
SaladDays_vol18,PsychoStaff,Joouari,SeisinkiVulnus
SamayoeruSyonenNiJunaiWo,PlatinumJungle,MagicStarGakuin,Donburakokko
SeisinkiVulnus,Joouari,SaladDays_vol18,MadouTaiga
ShimatteIkouze_vol01,HighschoolKimengumi_vol20,TennenSenshiG,JangiriPonpon
ShimatteIkouze_vol26,GarakutayaManta,TsubasaNoKioku,PikaruGenkiDesu
SonokiDeABC,Saisoku,MisutenaideDaisy,WarewareHaOniDearu
SyabondamaKieta,KarappoHighschool,WarewareHaOniDearu,YoumaKourin
TaiyouNiSmash,MiraiSan,ToutaMairimasu,KuroidoGanka
TapkunNoTanteisitsu,TsubasaNoKioku,GarakutayaManta,TennenSenshiG
TasogareTsushin,EienNoWith,KyokugenCyclone,ReveryEarth
TennenSenshiG,HighschoolKimengumi_vol20,JangiriPonpon,ShimatteIkouze_vol01
TensiNoHaneToAkumaNoShippo,ByebyeC-BOY,Raphael,MAD_STONE
TetsuSan,YouchienBoueigumi,OL_Lunch,JijiBabaFight
That'sIzumiko,HealingPlanet,MemorySeijin,SamayoeruSyonenNiJunaiWo
TotteokiNoABC,Count3DeKimeteAgeru,KuroidoGanka,ByebyeC-BOY
ToutaMairimasu,TaiyouNiSmash,PrayerHaNemurenai,AkkeraKanjinchou
TouyouKidan,MukoukizuNoChonbo,LoveHina_vol01,TsubasaNoKioku
TsubasaNoKioku,TapkunNoTanteisitsu,GarakutayaManta,ShimatteIkouze_vol26
UchiNoNyan'sDiary,BurariTessenTorimonocho,LancelotFullThrottle,Count3DeKimeteAgeru
UchuKigekiM774,JangiriPonpon,KoukouNoHitotachi,TennenSenshiG
UltraEleven,HarukaRefrain,EverydayOsakanaChan,MoeruOnisan_vol01
UnbalanceTokyo,AkkeraKanjinchou,MAD_STONE,MeteoSanStrikeDesu
WarewareHaOniDearu,Saisoku,SyabondamaKieta,SonokiDeABC
YamatoNoHane,MayaNoAkaiKutsu,MemorySeijin,EvaLady
YasasiiAkuma,BakuretsuKungFuGirl,DollGun,MagicianLoad
YouchienBoueigumi,TetsuSan,OL_Lunch,JijiBabaFight
YoumaKourin,KarappoHighschool,SyabondamaKieta,SonokiDeABC
YukiNoFuruMachi,Ningyoushi,HanzaiKousyouninMinegishiEitarou,Raphael
YumeiroCooking,MariaSamaNihaNaisyo,WarewareHaOniDearu,SaladDays_vol01
YumeNoKayoiji,RinToSiteSippuNoNaka,SeisinkiVulnus,MagicStarGakuin
